Offset-Description                                                                   
0000 - Pointer           27847640 : P->00F278E0        277A9B40 : P->00F278E0        
05FC - Double            27847C3C : 0.00003676605410873277AA13C : 27445850151.8194   
0604 - Float             27847C44 : 0.01651806571      277AA144 : 38.42526245        
0608 - Float             27847C48 : 0.8583507538       277AA148 : 40.52669907        
060C - Float             27847C4C : -0.01682382636     277AA14C : 40.52038193        
0610 - 4 Bytes (Hex)     27847C50 : 80000000           277AA150 : 42661DE0           
0614 - 4 Bytes (Hex)     27847C54 : 80000000           277AA154 : 426620F8           
0618 - Double            27847C58 : 0.0078124962747097 277AA158 : 560556282624.819   
0620 - Float             27847C60 : 80.89313507        277AA160 : -0.5144253373      
0624 - Float             27847C64 : 2800.908203        277AA164 : -0.5207642913      
0628 - 4 Bytes           27847C68 : 0                  277AA168 : 3219636396         
062C - Float             27847C6C : 690.8515015        277AA16C : -1.808405399       
0630 - 4 Bytes           27847C70 : 0                  277AA170 : 1113452382         
0634 - 4 Bytes           27847C74 : 0                  277AA174 : 1113455197         
0638 - 4 Bytes           27847C78 : 0                  277AA178 : 1113913123         
063C - 4 Bytes           27847C7C : 0                  277AA17C : 1113911424         
0640 - Float             27847C80 : -111.3434219       277AA180 : 56.95491791        
0644 - Float             27847C84 : 235.7392883        277AA184 : 56.97652054        
0648 - Float             27847C88 : -894.5332642       277AA188 : 56.96752167        
064C - Float             27847C8C : 75.05576324        277AA18C : 56.97188187        
0650 - Float             27847C90 : -0.01664445922     277AA190 : -0.5056893229      
0654 - Float             27847C94 : 0.9998269677       277AA194 : -0.5207653046      
0658 - Float             27847C98 : 0.008314601146     277AA198 : -0.5173193216      
065C - Float             27847C9C : 0.1578753442       277AA19C : -0.5204043388      
0660 - Float             27847CA0 : 1                  277AA1A0 : 57.57058716        
0664 - Pointer to instance of hkpRigidBody27847CA4 : P->04938140        277AA1A4 : P->42663E0F        
0668 - Pointer to instance of CCustomSampledHeightFieldShape27847CA8 : P->04937FE0        277AA1A8 : P->42664B07        
066C - 4 Bytes           27847CAC : 0                  277AA1AC : 1113999692         
0670 - Float             27847CB0 : -111.3869553       277AA1B0 : 0                  
0674 - String            27847CB4 : /SlC               277AA1B4 :                    
0678 - Float             27847CB8 : -894.5869141       277AA1B8 : 0                  
067C - Float             27847CBC : 74.55316925        277AA1BC : 0                  
0680 - Float             27847CC0 : -111.3352737       277AA1C0 : 0                  
0684 - Float             27847CC4 : 235.6297607        277AA1C4 : 0                  
0688 - Float             27847CC8 : -894.5232544       277AA1C8 : 0                  
068C - Float             27847CCC : 75.14975739        277AA1CC : 0                  
0690 - Float             27847CD0 : 0.1397119761       277AA1D0 : 0                  
0694 - 4 Bytes           27847CD4 : 0                  277AA1D4 : 0                  
0698 - 4 Bytes           27847CD8 : 0                  277AA1D8 : 0                  
069C - 4 Bytes           27847CDC : 0                  277AA1DC : 0                  
06A0 - Float             27847CE0 : 0.07382655144      277AA1E0 : 0                  
06A4 - Float             27847CE4 : -0.9931170344      277AA1E4 : 0                  
06A8 - Double            27847CE8 : 0.00159798119321728277AA1E8 : 0                  
06B0 - Float             27847CF0 : 1                  277AA1F0 : 0                  
06B4 - 4 Bytes           27847CF4 : 0                  277AA1F4 : 0                  
06B8 - 4 Bytes           27847CF8 : 0                  277AA1F8 : 0                  
06BC - Double            27847CFC : 0.00003676605410873277AA1FC : 0                  
06C4 - Float             27847D04 : 0.01651806571      277AA204 : 0                  
06C8 - Float             27847D08 : 0.8583507538       277AA208 : 0                  
06CC - Float             27847D0C : -0.01682382636     277AA20C : 0                  
06D0 - 4 Bytes           27847D10 : 0                  277AA210 : 0                  
06D4 - 4 Bytes (Hex)     27847D14 : 80000000           277AA214 : 00000000           
06D8 - Double            27847D18 : 0.0078124962747097 277AA218 : 0                  
06E0 - Float             27847D20 : 80.89313507        277AA220 : 0                  
06E4 - Float             27847D24 : 2800.908203        277AA224 : 0                  
06E8 - 4 Bytes           27847D28 : 0                  277AA228 : 0                  
06EC - Float             27847D2C : 690.8515015        277AA22C : 0                  
06F0 - 4 Bytes           27847D30 : 0                  277AA230 : 0                  
06F4 - 4 Bytes           27847D34 : 0                  277AA234 : 0                  
06F8 - 4 Bytes           27847D38 : 0                  277AA238 : 0                  
06FC - 4 Bytes           27847D3C : 0                  277AA23C : 0                  
0700 - 4 Bytes           27847D40 : 0                  277AA240 : 0                  
0704 - 4 Bytes           27847D44 : 0                  277AA244 : 0                  
0708 - 4 Bytes           27847D48 : 0                  277AA248 : 0                  
070C - 4 Bytes           27847D4C : 0                  277AA24C : 0                  
0710 - 4 Bytes           27847D50 : 0                  277AA250 : 0                  
0714 - 4 Bytes           27847D54 : 0                  277AA254 : 0                  
0718 - 4 Bytes           27847D58 : 0                  277AA258 : 0                  
071C - 4 Bytes           27847D5C : 0                  277AA25C : 0                  
0720 - 4 Bytes           27847D60 : 0                  277AA260 : 0                  
0724 - 4 Bytes           27847D64 : 0                  277AA264 : 0                  
0728 - 4 Bytes           27847D68 : 0                  277AA268 : 0                  
072C - 4 Bytes           27847D6C : 0                  277AA26C : 0                  
0730 - 4 Bytes           27847D70 : 0                  277AA270 : 0                  
0734 - 4 Bytes           27847D74 : 0                  277AA274 : 0                  
0738 - 4 Bytes           27847D78 : 0                  277AA278 : 0                  
073C - 4 Bytes           27847D7C : 0                  277AA27C : 0                  
0740 - 4 Bytes           27847D80 : 0                  277AA280 : 0                  
0744 - 4 Bytes           27847D84 : 0                  277AA284 : 0                  
0748 - 4 Bytes           27847D88 : 0                  277AA288 : 0                  
074C - 4 Bytes           27847D8C : 0                  277AA28C : 0                  
0750 - 4 Bytes           27847D90 : 0                  277AA290 : 0                  
0754 - 4 Bytes           27847D94 : 0                  277AA294 : 0                  
0758 - 4 Bytes           27847D98 : 0                  277AA298 : 0                  
075C - 4 Bytes           27847D9C : 0                  277AA29C : 0                  
0760 - 4 Bytes           27847DA0 : 0                  277AA2A0 : 0                  
0764 - 4 Bytes           27847DA4 : 0                  277AA2A4 : 0                  
0768 - 4 Bytes           27847DA8 : 0                  277AA2A8 : 0                  
076C - 4 Bytes           27847DAC : 0                  277AA2AC : 0                  
0770 - 4 Bytes           27847DB0 : 0                  277AA2B0 : 0                  
0774 - 4 Bytes           27847DB4 : 0                  277AA2B4 : 0                  
0778 - 4 Bytes           27847DB8 : 0                  277AA2B8 : 0                  
077C - 4 Bytes           27847DBC : 0                  277AA2BC : 0                  
0780 - 4 Bytes           27847DC0 : 0                  277AA2C0 : 0                  
0784 - 4 Bytes           27847DC4 : 0                  277AA2C4 : 0                  
0788 - 4 Bytes           27847DC8 : 0                  277AA2C8 : 0                  
078C - 4 Bytes           27847DCC : 0                  277AA2CC : 0                  
0790 - 4 Bytes           27847DD0 : 0                  277AA2D0 : 0                  
0794 - 4 Bytes           27847DD4 : 0                  277AA2D4 : 0                  
0798 - 4 Bytes           27847DD8 : 0                  277AA2D8 : 0                  
079C - 4 Bytes           27847DDC : 0                  277AA2DC : 0                  
07A0 - 4 Bytes           27847DE0 : 0                  277AA2E0 : 0                  
07A4 - 4 Bytes           27847DE4 : 0                  277AA2E4 : 0                  
07A8 - 4 Bytes           27847DE8 : 0                  277AA2E8 : 0                  
07AC - 4 Bytes           27847DEC : 0                  277AA2EC : 0                  
07B0 - 4 Bytes           27847DF0 : 0                  277AA2F0 : 0                  
07B4 - 4 Bytes           27847DF4 : 0                  277AA2F4 : 0                  
07B8 - 4 Bytes           27847DF8 : 0                  277AA2F8 : 0                  
07BC - 4 Bytes           27847DFC : 0                  277AA2FC : 0                  
07C0 - 4 Bytes           27847E00 : 0                  277AA300 : 0                  
07C4 - 4 Bytes           27847E04 : 0                  277AA304 : 0                  
07C8 - 4 Bytes           27847E08 : 0                  277AA308 : 0                  
07CC - 4 Bytes           27847E0C : 0                  277AA30C : 0                  
07D0 - 4 Bytes           27847E10 : 0                  277AA310 : 0                  
07D4 - 4 Bytes           27847E14 : 0                  277AA314 : 0                  
07D8 - 4 Bytes           27847E18 : 0                  277AA318 : 0                  
07DC - 4 Bytes           27847E1C : 0                  277AA31C : 0                  
07E0 - 4 Bytes           27847E20 : 0                  277AA320 : 0                  
07E4 - 4 Bytes           27847E24 : 0                  277AA324 : 0                  
07E8 - 4 Bytes           27847E28 : 0                  277AA328 : 0                  
07EC - 4 Bytes           27847E2C : 0                  277AA32C : 0                  
07F0 - 4 Bytes           27847E30 : 0                  277AA330 : 0                  
07F4 - 4 Bytes           27847E34 : 0                  277AA334 : 0                  
07F8 - 4 Bytes           27847E38 : 0                  277AA338 : 0                  
07FC - 4 Bytes           27847E3C : 0                  277AA33C : 0                  
0800 - 4 Bytes (Hex)     27847E40 : 02345656           277AA340 : 422E5505           
0804 - 4 Bytes           27847E44 : 668                277AA344 : 1110571058         
0808 - 4 Bytes           27847E48 : 37                 277AA348 : 1110570869         
080C - 4 Bytes           27847E4C : 0                  277AA34C : 1110570233         
0810 - 4 Bytes           27847E50 : 0                  277AA350 : 1087483700         
0814 - 4 Bytes           27847E54 : 0                  277AA354 : 1084084210         
0818 - 4 Bytes           27847E58 : 0                  277AA358 : 1084096517         
081C - 4 Bytes           27847E5C : 0                  277AA35C : 1084024958         
0820 - 4 Bytes           27847E60 : 0                  277AA360 : 1112906030         
0824 - 4 Bytes           27847E64 : 0                  277AA364 : 1112868266         
0828 - 4 Bytes           27847E68 : 0                  277AA368 : 1112866922         
082C - 4 Bytes           27847E6C : 0                  277AA36C : 1112871146         
0830 - 4 Bytes           27847E70 : 0                  277AA370 : 1110271105         
0834 - 4 Bytes           27847E74 : 0                  277AA374 : 1110013887         
0838 - 4 Bytes           27847E78 : 0                  277AA378 : 1110012300         
083C - 4 Bytes           27847E7C : 0                  277AA37C : 1110529662         
0840 - 4 Bytes           27847E80 : 0                  277AA380 : 1087853756         
0844 - 4 Bytes           27847E84 : 0                  277AA384 : 1084156800         
0848 - 4 Bytes           27847E88 : 0                  277AA388 : 1084129708         
084C - 4 Bytes           27847E8C : 0                  277AA38C : 1086603477         
0850 - 4 Bytes           27847E90 : 0                  277AA390 : 1112838551         
0854 - 4 Bytes           27847E94 : 0                  277AA394 : 1113261382         
0858 - 4 Bytes           27847E98 : 0                  277AA398 : 1113261796         
085C - 4 Bytes           27847E9C : 0                  277AA39C : 1112598882         
0860 - 4 Bytes           27847EA0 : 0                  277AA3A0 : 1110526321         
0864 - 4 Bytes           27847EA4 : 0                  277AA3A4 : 1110493480         
0868 - 4 Bytes           27847EA8 : 0                  277AA3A8 : 1109778300         
086C - 4 Bytes           27847EAC : 0                  277AA3AC : 1110279180         
0870 - 4 Bytes           27847EB0 : 0                  277AA3B0 : 1086626178         
0874 - 4 Bytes           27847EB4 : 0                  277AA3B4 : 1086817113         
0878 - 4 Bytes           27847EB8 : 0                  277AA3B8 : 1082562989         
087C - 4 Bytes           27847EBC : 0                  277AA3BC : 1074423688         
0880 - 4 Bytes           27847EC0 : 0                  277AA3C0 : 1112590208         
0884 - 4 Bytes           27847EC4 : 0                  277AA3C4 : 1112562924         
0888 - 4 Bytes           27847EC8 : 0                  277AA3C8 : 1113086695         
088C - 4 Bytes           27847ECC : 0                  277AA3CC : 1112927141         
0890 - 4 Bytes           27847ED0 : 0                  277AA3D0 : 1110285892         
0894 - 4 Bytes           27847ED4 : 0                  277AA3D4 : 1110285189         
0898 - 4 Bytes           27847ED8 : 0                  277AA3D8 : 1109730232         
089C - 4 Bytes           27847EDC : 0                  277AA3DC : 1110319244         
08A0 - 4 Bytes           27847EE0 : 0                  277AA3E0 : 1074314496         
08A4 - 4 Bytes           27847EE4 : 0                  277AA3E4 : 1074330768         
08A8 - 4 Bytes           27847EE8 : 0                  277AA3E8 : 1083193968         
08AC - 4 Bytes           27847EEC : 0                  277AA3EC : 1086202797         
08B0 - 4 Bytes           27847EF0 : 0                  277AA3F0 : 1112921083         
08B4 - 4 Bytes           27847EF4 : 0                  277AA3F4 : 1112918369         
08B8 - 4 Bytes           27847EF8 : 0                  277AA3F8 : 1113000405         
08BC - 4 Bytes           27847EFC : 0                  277AA3FC : 1112184883         
08C0 - 4 Bytes           27847F00 : 0                  277AA400 : 1110316768         
08C4 - 4 Bytes           27847F04 : 0                  277AA404 : 1110257629         
08C8 - 4 Bytes           27847F08 : 0                  277AA408 : 1110228568         
08CC - 4 Bytes           27847F0C : 0                  277AA40C : 1109915083         
08D0 - Float             27847F10 : 0.1281810999       277AA410 : 5.939722061        
08D4 - 4 Bytes           27847F14 : 0                  277AA414 : 1086599635         
08D8 - 4 Bytes           27847F18 : 0                  277AA418 : 1081196824         
08DC - 4 Bytes           27847F1C : 0                  277AA41C : 1081286210         
08E0 - 4 Bytes           27847F20 : 0                  277AA420 : 1112180122         
08E4 - 4 Bytes           27847F24 : 0                  277AA424 : 1112139236         
08E8 - 4 Bytes           27847F28 : 0                  277AA428 : 1112349020         
08EC - 4 Bytes           27847F2C : 0                  277AA42C : 1112606771         
08F0 - 4 Bytes           27847F30 : 0                  277AA430 : 1110226429         
08F4 - 4 Bytes           27847F34 : 0                  277AA434 : 1109889116         
08F8 - 4 Bytes           27847F38 : 0                  277AA438 : 1110174554         
08FC - 4 Bytes           27847F3C : 0                  277AA43C : 1109118622         
0900 - 4 Bytes           27847F40 : 0                  277AA440 : 1081332246         
0904 - 4 Bytes           27847F44 : 0                  277AA444 : 1081932863         
0908 - 4 Bytes           27847F48 : 0                  277AA448 : 1082241828         
090C - 4 Bytes           27847F4C : 0                  277AA44C : 1092620757         
0910 - 4 Bytes           27847F50 : 0                  277AA450 : 1112339332         
0914 - 4 Bytes           27847F54 : 0                  277AA454 : 1112573815         
0918 - 4 Bytes           27847F58 : 0                  277AA458 : 1112296553         
091C - 4 Bytes           27847F5C : 0                  277AA45C : 1111577828         
0920 - 4 Bytes           27847F60 : 0                  277AA460 : 1109100873         
0924 - 4 Bytes           27847F64 : 0                  277AA464 : 1109105071         
0928 - 4 Bytes           27847F68 : 0                  277AA468 : 1109093437         
092C - 4 Bytes           27847F6C : 0                  277AA46C : 1109184936         
0930 - 4 Bytes           27847F70 : 0                  277AA470 : 1092672418         
0934 - 4 Bytes           27847F74 : 0                  277AA474 : 1092661364         
0938 - 4 Bytes           27847F78 : 0                  277AA478 : 1092659918         
093C - 4 Bytes           27847F7C : 0                  277AA47C : 1092445611         
0940 - 4 Bytes           27847F80 : 0                  277AA480 : 1111558757         
0944 - 4 Bytes           27847F84 : 0                  277AA484 : 1111551512         
0948 - 4 Bytes           27847F88 : 0                  277AA488 : 1111560296         
094C - 4 Bytes           27847F8C : 0                  277AA48C : 1111468345         
0950 - 4 Bytes           27847F90 : 0                  277AA490 : 1109006744         
0954 - 4 Bytes           27847F94 : 0                  277AA494 : 1109166544         
0958 - 4 Bytes           27847F98 : 0                  277AA498 : 1108998271         
095C - 4 Bytes           27847F9C : 0                  277AA49C : 1108992242         
0960 - 4 Bytes           27847FA0 : 0                  277AA4A0 : 1092354872         
0964 - 4 Bytes           27847FA4 : 0                  277AA4A4 : 1092498446         
0968 - Double            27847FA8 : 0.00023993523791432277AA4A8 : 480209.813586341   
0970 - Float             27847FB0 : 0.06738074869      277AA4B0 : 48.50301361        
0974 - 4 Bytes           27847FB4 : 0                  277AA4B4 : 1111455571         
0978 - 4 Bytes           27847FB8 : 0                  277AA4B8 : 1111606501         
097C - 4 Bytes           27847FBC : 0                  277AA4BC : 1111595189         
0980 - 4 Bytes           27847FC0 : 0                  277AA4C0 : 1109123559         
0984 - 4 Bytes           27847FC4 : 0                  277AA4C4 : 1109114905         
0988 - 4 Bytes           27847FC8 : 0                  277AA4C8 : 1109111717         
098C - 4 Bytes           27847FCC : 0                  277AA4CC : 1109098398         
0990 - 4 Bytes           27847FD0 : 0                  277AA4D0 : 1092124164         
0994 - 4 Bytes           27847FD4 : 0                  277AA4D4 : 1092189930         
0998 - 4 Bytes           27847FD8 : 0                  277AA4D8 : 1092168388         
099C - 4 Bytes           27847FDC : 0                  277AA4DC : 1092145538         
09A0 - 4 Bytes           27847FE0 : 0                  277AA4E0 : 1111379875         
09A4 - 4 Bytes           27847FE4 : 0                  277AA4E4 : 1111377631         
09A8 - 4 Bytes           27847FE8 : 0                  277AA4E8 : 1111372592         
09AC - Float             27847FEC : 0.2530777156       277AA4EC : 47.55988312        
09B0 - Byte              27847FF0 : 160                277AA4F0 : 160                
09B1 - Byte              27847FF1 : 109                277AA4F1 : 29                 
09B2 - Byte              27847FF2 : 94                 277AA4F2 : 25                 
09B3 - Byte              27847FF3 : 62                 277AA4F3 : 66                 
09B4 - 4 Bytes           27847FF4 : 0                  277AA4F4 : 1108938478         
09B8 - Double            27847FF8 : 0.00153055880218744277AA4F8 : 26995462278.2537   
09C0 - 4 Bytes           27848000 : 0                  277AA500 : 1092079818         
09C4 - 4 Bytes           27848004 : 0                  277AA504 : 1092147543         
09C8 - 4 Bytes           27848008 : 0                  277AA508 : 1092127420         
09CC - 4 Bytes           2784800C : 0                  277AA50C : 1092107678         
09D0 - 4 Bytes           27848010 : 0                  277AA510 : 1111511412         
09D4 - Byte              27848014 : 254                277AA514 : 25                 
09D5 - Byte              27848015 : 37                 277AA515 : 51                 
09D6 - Byte              27848016 : 69                 277AA516 : 64                 
09D7 - Byte              27848017 : 62                 277AA517 : 66                 
09D8 - 4 Bytes           27848018 : 0                  277AA518 : 1111498840         
09DC - 4 Bytes           2784801C : 0                  277AA51C : 1111485250         
09E0 - 4 Bytes           27848020 : 0                  277AA520 : 1109016050         
09E4 - 4 Bytes           27848024 : 0                  277AA524 : 1109003635         
09E8 - 4 Bytes           27848028 : 0                  277AA528 : 1109003635         
09EC - 4 Bytes           2784802C : 0                  277AA52C : 1109003635         
09F0 - Double            27848030 : 0.00003465486224740277AA530 : 358035.563555681   
09F8 - Byte              27848038 : 239                277AA538 : 78                 
09F9 - String            27848039 : 4O={               277AA539 : ÚAN               
09FD - Byte              2784803D : 208                277AA53D : 218                
09FE - Byte              2784803E : 155                277AA53E : 21                 
09FF - Byte              2784803F : 62                 277AA53F : 65                 
0A00 - Float             27848040 : 0.1728690714       277AA540 : 47.69242859        
0A04 - Float             27848044 : 0.3010122776       277AA544 : 47.64825439        
0A08 - Float             27848048 : 0.9124141932       277AA548 : 47.64825439        
0A0C - 4 Bytes           2784804C : 0                  277AA54C : 1111398352         
0A10 - 4 Bytes           27848050 : 0                  277AA550 : 662539744          
0A14 - Double            27848054 : 0.00001133960904553277AA554 : 1.18575755001899E-322
0A1C - Float             2784805C : 0.1178553253       277AA55C : 6.586102782E-44    
0A20 - 4 Bytes           27848060 : 0                  277AA560 : 662495296          
0A24 - 4 Bytes           27848064 : 0                  277AA564 : 24                 
0A28 - 4 Bytes           27848068 : 0                  277AA568 : 0                  
0A2C - 4 Bytes           2784806C : 0                  277AA56C : 47                 
0A30 - 4 Bytes           27848070 : 0                  277AA570 : 662431168          
0A34 - 4 Bytes           27848074 : 0                  277AA574 : 24                 
0A38 - 4 Bytes           27848078 : 0                  277AA578 : 0                  
0A3C - 4 Bytes           2784807C : 0                  277AA57C : 47                 
0A40 - Float             27848080 : 0.1572628766       277AA580 : 3.509338816E-15    
0A44 - 4 Bytes           27848084 : 0                  277AA584 : 24                 
0A48 - 4 Bytes           27848088 : 0                  277AA588 : 0                  
0A4C - 4 Bytes           2784808C : 0                  277AA58C : 47                 
0A50 - Double            27848090 : 0.00006910471711307277AA590 : 5.1255215845096E-313
0A58 - 4 Bytes           27848098 : 0                  277AA598 : 0                  
0A5C - 4 Bytes           2784809C : 0                  277AA59C : 47                 
0A60 - 4 Bytes           278480A0 : 0                  277AA5A0 : 662537088          
0A64 - 4 Bytes           278480A4 : 0                  277AA5A4 : 262167             
0A68 - Float             278480A8 : 0.2655121386       277AA5A8 : 0                  
0A6C - 4 Bytes           278480AC : 0                  277AA5AC : 47                 
0A70 - 4 Bytes           278480B0 : 0                  277AA5B0 : 662536576          
0A74 - 4 Bytes           278480B4 : 0                  277AA5B4 : 24                 
0A78 - 4 Bytes           278480B8 : 0                  277AA5B8 : 0                  
0A7C - 4 Bytes           278480BC : 0                  277AA5BC : 47                 
0A80 - 4 Bytes           278480C0 : 0                  277AA5C0 : 662497184          
0A84 - 4 Bytes           278480C4 : 0                  277AA5C4 : 24                 
0A88 - 4 Bytes           278480C8 : 0                  277AA5C8 : 0                  
0A8C - 4 Bytes           278480CC : 0                  277AA5CC : 47                 
0A90 - 4 Bytes           278480D0 : 0                  277AA5D0 : 662537408          
0A94 - 4 Bytes           278480D4 : 0                  277AA5D4 : 23                 
0A98 - 4 Bytes           278480D8 : 0                  277AA5D8 : 0                  
0A9C - 4 Bytes           278480DC : 0                  277AA5DC : 47                 
0AA0 - Float             278480E0 : 0.1154149994       277AA5E0 : 3.51823605E-15     
0AA4 - 4 Bytes           278480E4 : 0                  277AA5E4 : 23                 
0AA8 - 4 Bytes           278480E8 : 0                  277AA5E8 : 0                  
0AAC - 4 Bytes           278480EC : 0                  277AA5EC : 47                 
0AB0 - 4 Bytes           278480F0 : 0                  277AA5F0 : 662434496          
0AB4 - 4 Bytes           278480F4 : 0                  277AA5F4 : 24                 
0AB8 - 4 Bytes           278480F8 : 0                  277AA5F8 : 0                  
0ABC - 4 Bytes           278480FC : 0                  277AA5FC : 47                 
0AC0 - 4 Bytes           27848100 : 0                  277AA600 : 662498880          
0AC4 - 4 Bytes           27848104 : 0                  277AA604 : 262167             
0AC8 - 4 Bytes           27848108 : 0                  277AA608 : 0                  
0ACC - 4 Bytes           2784810C : 0                  277AA60C : 47                 
0AD0 - 4 Bytes           27848110 : 0                  277AA610 : 662536704          
0AD4 - 4 Bytes           27848114 : 0                  277AA614 : 24                 
0AD8 - 4 Bytes           27848118 : 0                  277AA618 : 0                  
0ADC - 4 Bytes           2784811C : 0                  277AA61C : 47                 
0AE0 - 4 Bytes           27848120 : 0                  277AA620 : 662497088          
0AE4 - 4 Bytes           27848124 : 0                  277AA624 : 24                 
0AE8 - 4 Bytes           27848128 : 0                  277AA628 : 0                  
0AEC - 4 Bytes           2784812C : 0                  277AA62C : 47                 
0AF0 - 4 Bytes           27848130 : 0                  277AA630 : 1088834098         
0AF4 - 4 Bytes           27848134 : 0                  277AA634 : 3239094730         
0AF8 - 4 Bytes           27848138 : 0                  277AA638 : 1109776578         
0AFC - 4 Bytes           2784813C : 0                  277AA63C : 1053843080         
0B00 - 4 Bytes           27848140 : 0                  277AA640 : 1088566628         
0B04 - 4 Bytes           27848144 : 0                  277AA644 : 3237454779         
0B08 - 4 Bytes           27848148 : 0                  277AA648 : 1109532854         
0B0C - 4 Bytes           2784814C : 0                  277AA64C : 1070129120         
0B10 - 4 Bytes           27848150 : 0                  277AA650 : 1088526465         
0B14 - 4 Bytes           27848154 : 0                  277AA654 : 3237486396         
0B18 - 4 Bytes           27848158 : 0                  277AA658 : 1109529150         
0B1C - 4 Bytes           2784815C : 0                  277AA65C : 1070016279         
0B20 - 4 Bytes           27848160 : 0                  277AA660 : 1088558835         
0B24 - 4 Bytes           27848164 : 0                  277AA664 : 3237479169         
0B28 - 4 Bytes           27848168 : 0                  277AA668 : 1109529619         
0B2C - 4 Bytes           2784816C : 0                  277AA66C : 1070042072         
0B30 - 4 Bytes           27848170 : 0                  277AA670 : 1088551314         
0B34 - 4 Bytes           27848174 : 0                  277AA674 : 3237485639         
0B38 - 4 Bytes           27848178 : 0                  277AA678 : 1109528831         
0B3C - 4 Bytes           2784817C : 0                  277AA67C : 1070018981         
0B40 - 4 Bytes           27848180 : 0                  277AA680 : 0                  
0B44 - 4 Bytes           27848184 : 0                  277AA684 : 0                  
0B48 - 4 Bytes           27848188 : 0                  277AA688 : 0                  
0B4C - 4 Bytes           2784818C : 0                  277AA68C : 0                  
0B50 - 4 Bytes           27848190 : 0                  277AA690 : 0                  
0B54 - 4 Bytes           27848194 : 0                  277AA694 : 0                  
0B58 - 4 Bytes           27848198 : 0                  277AA698 : 0                  
0B5C - 4 Bytes           2784819C : 0                  277AA69C : 0                  
0B60 - 4 Bytes           278481A0 : 0                  277AA6A0 : 0                  
0B64 - 4 Bytes           278481A4 : 0                  277AA6A4 : 0                  
0B68 - 4 Bytes           278481A8 : 0                  277AA6A8 : 0                  
0B6C - 4 Bytes           278481AC : 0                  277AA6AC : 0                  
0B70 - 4 Bytes           278481B0 : 0                  277AA6B0 : 0                  
0B74 - 4 Bytes           278481B4 : 0                  277AA6B4 : 0                  
0B78 - 4 Bytes           278481B8 : 0                  277AA6B8 : 0                  
0B7C - 4 Bytes           278481BC : 0                  277AA6BC : 0                  
0B80 - 4 Bytes           278481C0 : 0                  277AA6C0 : 0                  
0B84 - 4 Bytes           278481C4 : 0                  277AA6C4 : 0                  
0B88 - 4 Bytes           278481C8 : 0                  277AA6C8 : 0                  
0B8C - 4 Bytes           278481CC : 0                  277AA6CC : 0                  
0B90 - 4 Bytes           278481D0 : 0                  277AA6D0 : 0                  
0B94 - 4 Bytes           278481D4 : 0                  277AA6D4 : 0                  
0B98 - 4 Bytes           278481D8 : 0                  277AA6D8 : 0                  
0B9C - 4 Bytes           278481DC : 0                  277AA6DC : 0                  
0BA0 - 4 Bytes           278481E0 : 0                  277AA6E0 : 0                  
0BA4 - 4 Bytes           278481E4 : 0                  277AA6E4 : 0                  
0BA8 - 4 Bytes           278481E8 : 0                  277AA6E8 : 0                  
0BAC - 4 Bytes           278481EC : 0                  277AA6EC : 0                  
0BB0 - 4 Bytes           278481F0 : 0                  277AA6F0 : 0                  
0BB4 - 4 Bytes           278481F4 : 0                  277AA6F4 : 0                  
0BB8 - 4 Bytes           278481F8 : 0                  277AA6F8 : 0                  
0BBC - 4 Bytes           278481FC : 0                  277AA6FC : 0                  
0BC0 - 4 Bytes           27848200 : 0                  277AA700 : 0                  
0BC4 - 4 Bytes           27848204 : 0                  277AA704 : 0                  
0BC8 - 4 Bytes           27848208 : 0                  277AA708 : 0                  
0BCC - 4 Bytes           2784820C : 0                  277AA70C : 0                  
0BD0 - 4 Bytes           27848210 : 0                  277AA710 : 0                  
0BD4 - 4 Bytes           27848214 : 0                  277AA714 : 0                  
0BD8 - 4 Bytes           27848218 : 0                  277AA718 : 0                  
0BDC - 4 Bytes           2784821C : 0                  277AA71C : 0                  
0BE0 - 4 Bytes           27848220 : 0                  277AA720 : 0                  
0BE4 - 4 Bytes           27848224 : 0                  277AA724 : 0                  
0BE8 - 4 Bytes           27848228 : 0                  277AA728 : 0                  
0BEC - 4 Bytes           2784822C : 0                  277AA72C : 0                  
0BF0 - 4 Bytes           27848230 : 0                  277AA730 : 0                  
0BF4 - 4 Bytes           27848234 : 0                  277AA734 : 0                  
0BF8 - 4 Bytes           27848238 : 0                  277AA738 : 0                  
0BFC - 4 Bytes           2784823C : 0                  277AA73C : 0                  
0C00 - 4 Bytes           27848240 : 0                  277AA740 : 664771136          
0C04 - 4 Bytes           27848244 : 0                  277AA744 : 23                 
0C08 - 4 Bytes           27848248 : 0                  277AA748 : 0                  
0C0C - 4 Bytes           2784824C : 0                  277AA74C : 42                 
0C10 - Double            27848250 : 0.0078125          277AA750 : 4.91328503191165E-313
0C18 - Double            27848258 : 0.0078125          277AA758 : 8.91238232205414E-313
0C20 - 4 Bytes           27848260 : 0                  277AA760 : 868793856          
0C24 - 4 Bytes           27848264 : 0                  277AA764 : 23                 
0C28 - 4 Bytes           27848268 : 4294967295         277AA768 : 0                  
0C2C - 4 Bytes           2784826C : 0                  277AA76C : 42                 
0C30 - 4 Bytes           27848270 : 0                  277AA770 : 661259648          
0C34 - 4 Bytes           27848274 : 0                  277AA774 : 23                 
0C38 - 4 Bytes           27848278 : 0                  277AA778 : 0                  
0C3C - 4 Bytes           2784827C : 0                  277AA77C : 42                 
